4009628 39778.125 33843.750 7215338(28184) 72 10195193(39824) 51 +24654
4034282 39778.125 33840.625 7215338(28184) 72 10095728(39436) 52 +3530
4037812 39775.000 33840.625 7165405(27989) 73 10095728(39436) 52 +27989
4065801 39771.875 33840.625 7116495(27798) 74 10095728(39436) 52 +7917
4073718 39771.875 33837.500 7116495(27798) 74 9999119(39059) 53 +19881
4093599 39768.750 33837.500 7068573(27611) 75 9999119(39059) 53 +19178
4112777 39768.750 33834.375 7068573(27611) 75 9905231(38692) 54 +8433
4121210 39765.625 33834.375 7021606(27428) 76 9905231(38692) 54 +27428
4148638 39762.500 33834.375 6975563(27248) 77 9905231(38692) 54 +2831
4151469 39762.500 33831.250 6975563(27248) 77 9813939(38335) 55 +24417
4175886 39759.375 33831.250 6930414(27071) 78 9813939(38335) 55 +13918
4189804 39759.375 33828.125 6930414(27071) 78 9725126(37988) 56 +13153
4202957 39756.250 33828.125 6886131(26898) 79 9725126(37988) 56 +24835
4227792 39756.250 33825.000 6886131(26898) 79 9638681(37651) 57 +2063
4229855 39753.125 33825.000 6842686(26729) 80 9638681(37651) 57 +26729
4256584 39750.000 33825.000 6800053(26562) 81 9638681(37651) 57 +8859
4265443 39750.000 33821.875 6800053(26562) 81 9554501(37322) 58 +17703
4283146 39746.875 33821.875 6758207(26399) 82 9554501(37322) 58 +19619
4302765 39746.875 33818.750 6758207(26399) 82 9472489(37001) 59 +6780
4309545 39743.750 33818.750 6717124(26238) 83 9472489(37001) 59 +26238
4335783 39740.625 33818.750 6676781(26081) 84 9472489(37001) 59 +3983
4339766 39740.625 33815.625 6676781(26081) 84 9392553(36689) 60 +22098
4361864 39737.500 33815.625 6637157(25926) 85 9392553(36689) 60 +14591
4376455 39737.500 33812.500 6637157(25926) 85 9314607(36385) 61 +11335
4387790 39734.375 33812.500 6598230(25774) 86 9314607(36385) 61 +25050
4412840 39734.375 33809.375 6598230(25774) 86 9238570(36088) 62 +724
4413564 39731.250 33809.375 6559980(25624) 87 9238570(36088) 62 +25624
4439188 39728.125 33809.375 6522387(25478) 88 9238570(36088) 62 +9740
4448928 39728.125 33806.250 6522387(25478) 88 9164365(35798) 63 +15738
4464666 39725.000 33806.250 6485433(25333) 89 9164365(35798) 63 +20060
4484726 39725.000 33803.125 6485433(25333) 89 9091920(35515) 64 +5273
4489999 39721.875 33803.125 6449101(25191) 90 9091920(35515) 64 +25191
4515190 39718.750 33803.125 6413372(25052) 91 9091920(35515) 64 +5051
4520241 39718.750 33800.000 6413372(25052) 91 9021166(35238) 65 +20001
4540242 39715.625 33800.000 6378231(24914) 92 9021166(35238) 65 +15237
